Lannisport,The Westernlands,Casterly Rock,The Westernlands,64.0000000000,land
Lannisport,The Westernlands,Pyke,Iron Islands,1050.0000000000,sea
Casterly Rock,The Westernlands,Riverrun,The Riverlands,680.0000000000,land
Casterly Rock,The Westernlands,King's Landing,The Crownlands,1340.0000000000,land
Winterfell,The North,Harrenhal,The Riverlands,1870.0000000000,land
Winterfell,The North,Cerwyn,The North,160.0000000000,land
Winterfell,The North,Deepwood Motte,The North,560.0000000000,land
Winterfell,The North,Riverrun,The Riverlands,2290.0000000000,land
Winterfell,The North,White Harbor,The North,550.0000000000,land
Winterfell,The North,The Dreadfort,The North,560.0000000000,land
Winterfell,The North,King's Landing,The Crownlands,2300.0000000000,land
Winterfell,The North,Castle Black,The North,1050.0000000000,land
Harrenhal,The Riverlands,Riverrun,The Riverlands,410.0000000000,land
Harrenhal,The Riverlands,Moat Cailin,The North,930.0000000000,land
Harrenhal,The Riverlands,King's Landing,The Crownlands,6003.0000000000,land
Harrenhal,The Riverlands,Saltpans,Riverlands,200.0000000000,land
Cerwyn,The North,Moat Cailin,The North,420.0000000000,land
Cerwyn,The North,The Dreadfort,The North,150.0000000000,land
Deepwood Motte,The North,Bear Island,The North,225.0000000000,sea
Deepwood Motte,The North,The Dreadfort,The North,500.0000000000,land
Bear Island,The North,Pyke,Iron Islands,2415.0000000000,sea
Riverrun,The Riverlands,Seagard,The Riverlands,400.0000000000,land
Riverrun,The Riverlands,King's Landing,The Crownlands,1300.0000000000,land
Riverrun,The Riverlands,Duskendale,The Crownlands,960.0000000000,land
Moat Cailin,The North,White Harbor,The North,600.0000000000,land
Moat Cailin,The North,Seagard,The Riverlands,400.0000000000,land
Old Town,The Reach,Highgarden,The Reach,530.0000000000,land
Old Town,The Reach,The Arbor,The Reach,480.0000000000,sea
Old Town,The Reach,Sunspear,Dorne,1200.0000000000,sea
Highgarden,The Reach,King's Landing,The Crownlands,1220.0000000000,land
White Harbor,The North,Eastwatch-by-the-Sea,The North,620.0000000000,sea
Seagard,The Riverlands,Pyke,Iron Islands,500.0000000000,sea
Seagard,The Riverlands,Saltpans,Riverlands,600.0000000000,land
King's Landing,The Crownlands,Storm's End,The Stormlands,630.0000000000,land
King's Landing,The Crownlands,Sunspear,Dorne,1800.0000000000,sea
Storm's End,The Stormlands,Dragonstone,The Crownlands,250.0000000000,sea
Storm's End,The Stormlands,Sunspear,Dorne,1400.0000000000,sea
Duskendale,The Crownlands,Dragonstone,The Crownlands,180.0000000000,sea
Castle Black,The North,Eastwatch-by-the-Sea,The North,300.0000000000,land
The Arbor,The Reach,Sunspear,Dorne,1100.0000000000,sea
Saltpans,Riverlands,The Eyrie,The Vale,850.0000000000,land
